customer_id,firstname,lastname,CustomerAddress,Customer_PhoneNumber,CustomerEmail,CustomerFeedback
1,William,Adams,"9851 David Green Tonyaburgh, VA 02853",916-427-7276-861,lisa00@example.net,Neutral
2,Anthony,Wiggins,"24682 Holly Stravenue Mooreville, NH 13901",769-318-4373,michellefernandez@example.com,Positive
3,Ashley,Duke,"10184 Washington Trace Apt. 679 East Brandistad, OR 87389",702-520-3286,cooperwilliam@example.com,Unknown
4,Brandon,Taylor,"87194 Jeff Rue Mitchellbury, CA 50463",622-527-9530,fsilva@example.net,Positive
5,Brittany,Watkins,"850 Julia Groves Hartview, WI 95954",759-517-8359,petersjoseph@example.net,Neutral
6,Curtis,Cummings,"25468 Eric Causeway Suite 343 East Steven, SC 48548",647-294-0826,stephanie69@example.net,Neutral
7,Haley,Wilcox,"PSC 3319, Box 1711 APO AE 54478",001-345-422-5023,sharon86@example.net,Unknown
8,Tara,Martinez,"49488 Rachel Port Anthonybury, FL 31446",267-413-3199-19807,Unknown,Positive
9,Sarah,Carter,"74613 Hensley Crossroad Suite 746 Port Kelly, NH 40035",742-946-6553-159,anthony69@example.org,Neutral
10,Abigail,Simon,"57371 Wilson Alley Patriciaburgh, PA 36781",213-290-9906-79391,lawrence51@example.com,Neutral
11,Collin,Ward,"52686 Becky Islands Abigailfurt, NE 86929",391-479-3624,Unknown,Neutral
12,Laura,Hughes,"054 Alyssa Mill Lake Alexis, MT 13214",+1-981-260-7807,nicolaslopez@example.org,Positive
13,Amber,Warren,"77320 Kelly Turnpike Wilsonside, MA 57592",932-415-9074-319,brittney37@example.net,Positive
14,Amanda,Ellis,USNV Riley FPO AA 14148,420-731-2185,steven36@example.net,Negative
15,Samantha,Reynolds,"PSC 9615, Box 1463 APO AP 20309",001-966-301-3601-51483,lindasosa@example.com,Positive
16,Nicole,Torres,"496 Calderon Parkway Apt. 220 Port Joshua, HI 80224",547-514-7610-84867,davisjoy@example.net,Neutral
17,Casey,Sawyer,"4059 Martha Spring Markton, NC 56321",5614632938,raymondrobert@example.net,Negative
18,Candice,Lynn,"4472 Stein Drive Hansenville, ID 74427",+1-554-749-5430-97120,pattersonjerry@example.net,Positive
19,Joshua,Hernandez,"029 Teresa Shores Suite 231 Adamton, ID 46705",502-880-2602,martinchristopher@example.com,Positive
20,Randall,Duncan,"33737 Lloyd Corner South Bobbyton, VT 96254",306-878-3107-464,willie19@example.com,Positive
21,David,Browning,"01334 Curry Roads Apt. 102 Denisefort, FM 93551",989-808-0932-57119,wilsonwilliam@example.net,Positive
22,Andrea,Miles,USS Roberts FPO AE 36880,+1-726-418-7385,zreyes@example.com,Unknown
23,Brian,Richards,"4788 Karen Lodge Suite 745 South Alexandrafort, ND 91947",277-713-5055,macosta@example.com,Positive
24,Steven,Reyes,"69646 Timothy Inlet Apt. 409 New Christina, NJ 81647",469-922-4394-0246,danielhines@example.net,Neutral
